r,l,t
9784.888916432858,968,6988.8663828372955
3645.341484308243,276,6992.06436920166
3734.506740450859,301,6995.541406393051
5202.887869715691,4500,7048.032932043076
9843.722224533558,704,7056.287002563477
9215.277771115303,3532,7097.775432109833
7243.25463950634,738,7106.251994848251
9855.722188711166,650,7113.7788875103
3745.889546394348,393,7118.3103630542755
3740.198143005371,954,7130.216809511185
3639.6500814557076,322,7134.020126581192
5172.533732950687,4500,7186.639455080032
9855.333343565464,651,7194.156603574753
4252.4241099357605,664,7201.832262277603
9796.38886064291,917,7212.523328781128
9866.333289444447,602,7220.4500207901
4159.464587807655,375,7228.272475242615
9808.27773821354,863,7239.40730214119
9846.999981582165,689,7247.350823640823
4148.081778287888,512,7253.2789714336395
4157.567446470261,389,7257.796285152435
3742.095274209976,268,7260.950232744217
9826.833325862885,780,7269.932499885559
9411.277740120888,2650,7301.2661418914795
3747.7866795659065,374,7305.597732305527
9859.277745306492,634,7312.902631998062
4246.732716083527,321,7316.641921520233
9824.722241699696,789,7326.6935040950775
643.1281629800797,74,7327.614871263504
7254.6374386549,589,7334.43793964386
9798.055492162704,909,7344.872946023941
5174.430863082409,4500,7397.519933462143
4241.0413147211075,369,7401.7822959423065
9825.999973237514,783,7410.799317598343
4243.887011706829,326,7414.712475776672
9363.388891220093,2865,7448.791864156723
9855.166667103767,652,7456.361771821976
9853.833295822144,658,7464.912124872208
9877.388849198818,552,7471.277732849121
9878.944414377213,545,7477.582089185715
4249.578408896923,353,7481.651007890701
3743.9924021959305,320,7485.366242408752
9860.333343923092,629,7492.579457044601
3633.010112762451,372,7496.8596432209015
4349.17790466547,365,7501.09778380394
9850.05550301075,675,7508.911532640457
9855.444432497025,651,7517.4011063575745
3641.5472202301025,300,7520.905040025711
8080.838954925537,635,7532.62855887413
5194.350753188133,4500,7585.1584396362305
9873.888856887817,568,7591.771060705185
3743.9924119114876,337,7595.635135412216
8059.9704766869545,617,7602.704237937927
645.9738600254059,76,7603.613496541977
5174.430856704712,4500,7656.171219825745
5193.402184188366,4500,7709.595254659653
3735.4553130865097,285,7712.909996271133
9759.388869822025,1083,7725.34042263031
3744.9409735798836,298,7728.89201259613
4152.824613273144,301,7732.472177267075
9876.555534899235,556,7738.874340295792
5182.967967569828,4500,7791.077548980713
5071.03709846735,4500,7847.8619747161865
4258.115510344505,350,7851.946543455124
9495.16664904356,2272,7878.931264877319
5049.220074772835,4500,7931.2751615047455
9603.777731835842,1783,7952.550228357315
3743.0438475608826,308,7956.144558906555
9864.055551707745,612,7963.151925563812
9883.277770757675,526,7969.174958705902
9850.722188770771,672,7976.867107868195
3748.735242009163,286,7980.160316944122
5182.967962086201,4500,8032.602556705475
4252.424109458923,320,8036.309354543686
4244.835569083691,302,8039.795269489288
7247.997472405434,548,8046.09684920311
4253.372677624226,413,8051.825212955475
4242.938446223736,433,8056.82924580574
3744.940976202488,446,8062.028437376022
8081.787516951561,821,8071.569408893585
9861.33334326744,624,8078.715606689453
9859.833346962929,631,8085.987552404404
7249.8946115374565,662,8093.624089002609
9871.222230672836,580,8101.210926294327
4246.732704997063,292,8104.580858707428
3743.0438398122787,303,8108.078333854675
9878.222202658653,548,8114.380740404129
9395.333300113678,2721,8151.119686126709
9873.055509984493,572,8157.676938533783
3739.249568462372,343,8161.622562170029
9848.999947667122,680,8169.437277555466
