l,t
789000,39412.766209602356
790000,39464.31734061241
791000,39515.795737981796
792000,39567.1523270607
793000,39618.138065099716
794000,39669.70652246475
795000,39721.0163769722
796000,39772.65275454521
797000,39823.673334121704
798000,39874.446254730225
799000,39925.1722676754
800000,39975.989164590836
801000,40026.931416749954
802000,40077.74488544464
803000,40128.66320896149
804000,40179.683705329895
805000,40230.48612165451
806000,40281.41418981552
807000,40332.79526400566
808000,40384.152193784714
809000,40435.029509305954
810000,40486.419662714005
811000,40537.6306579113
812000,40588.881677389145
813000,40639.96327996254
814000,40690.93407511711
815000,40741.74650788307
816000,40792.54045009613
817000,40843.73192238808
818000,40895.03897500038
819000,40946.119183301926
820000,40997.45593094826
821000,41048.163635253906
822000,41098.99364566803
823000,41150.11380982399
824000,41200.942042827606
825000,41251.80554127693
826000,41303.22162652016
827000,41353.903980493546
828000,41404.685253858566
829000,41455.33458805084
830000,41506.85572528839
831000,41558.57405304909
832000,41609.3475997448
833000,41660.144423007965
834000,41710.92769241333
835000,41761.91214299202
836000,41812.44379687309
837000,41863.76954674721
838000,41914.9378824234
839000,41973.886060237885
840000,42029.94807624817
841000,42085.21160674095
842000,42136.91724181175
843000,42200.92008852959
844000,42260.49763917923
845000,42317.402470350266
846000,42380.58807706833
847000,42436.71383166313
848000,42492.7815656662
849000,42546.48633027077
850000,42612.87451696396
851000,42668.79769206047
852000,42722.08684301376
853000,42774.71637606621
854000,42832.32844686508
855000,42888.56144142151
856000,42943.1068315506
857000,42994.42150878906
858000,43056.2736787796
859000,43114.76685118675
860000,43170.59553670883
861000,43226.3566327095
862000,43284.153764247894
863000,43337.24962306023
864000,43390.69588661194
865000,43446.35561323166
866000,43502.57620191574
867000,43553.5222659111
868000,43604.886909246445
869000,43657.38281869888
870000,43710.6589922905
871000,43762.23798108101
872000,43812.84540081024
873000,43863.639425992966
874000,43914.57840013504
875000,43965.10305929184
876000,44016.40780329704
877000,44068.12707257271
878000,44119.34043073654
879000,44170.11997842789
880000,44221.024292230606
881000,44271.69383716583
882000,44322.660611867905
883000,44373.89696764946
884000,44424.76664566994
885000,44475.372544527054
886000,44526.59060263634
887000,44577.38582158089
888000,44628.26282906532
889000,44679.6033577919
890000,44730.62451004982
891000,44781.6350839138
892000,44832.641401052475
893000,44883.18598818779
894000,44934.10532975197
895000,44984.709473371506
896000,45035.441355228424
897000,45085.99720788002
898000,45136.902505874634
899000,45187.956723213196
900000,45238.87164568901
901000,45289.9055454731
902000,45340.773639678955
903000,45391.73865866661
904000,45442.85646939278
905000,45493.86453270912
906000,45545.42762565613
907000,45596.55799484253
908000,45647.61374616623
909000,45698.27085065842
910000,45749.05573248863
911000,45799.7531979084
912000,45850.86181426048
913000,45901.74977374077
914000,45952.68322682381
915000,46003.60573935509
916000,46054.545438051224
917000,46105.13714647293
918000,46156.28329730034
919000,46206.83495593071
920000,46258.40244626999
921000,46309.398215293884
922000,46360.5819003582
923000,46411.33844423294
924000,46462.672476768494
925000,46514.33348250389
926000,46565.8621301651
927000,46617.50606036186
928000,46668.59916353226
929000,46719.75725865364
930000,46771.17154574394
931000,46822.04379749298
932000,46873.563903570175
933000,46924.76015377045
934000,46975.61452627182
935000,47026.47649312019
936000,47077.36685490608
937000,47128.79576945305
938000,47180.09362792969
939000,47230.78615093231
940000,47281.828104019165
941000,47332.85348320007
942000,47384.13804793358
943000,47435.33410549164
944000,47486.36375999451
945000,47537.7511613369
946000,47588.78110718727
947000,47639.586377859116
948000,47690.27614760399
949000,47741.18015241623
950000,47792.10155034065
951000,47843.60749006271
952000,47894.50617957115
953000,47945.84463262558
954000,47997.07749080658
955000,48048.2901930809
956000,48099.14458847046
957000,48150.59794473648
958000,48201.5815410614
959000,48253.00870847702
960000,48303.812353372574
961000,48354.89237141609
962000,48405.85777592659
963000,48456.51212859154
964000,48507.06730866432
965000,48558.18382525444
966000,48609.217494010925
967000,48660.50907588005
968000,48712.50891542435
969000,48763.77479362488
970000,48815.17308020592
971000,48866.34131026268
972000,48917.435836315155
973000,48968.90990829468
974000,49020.67093658447
975000,49072.26706647873
976000,49123.67868065834
977000,49175.50227403641
978000,49226.19499158859
979000,49277.95633435249
980000,49329.55133843422
981000,49380.660022735596
982000,49431.511237859726
983000,49482.51158833504
984000,49534.29483914375
985000,49586.19458413124
986000,49637.87112045288
987000,49689.08702111244
988000,49739.96222233772
989000,49791.669805288315
990000,49843.90505242348
991000,49895.13303208351
992000,49946.42698788643
993000,49998.186030864716
994000,50050.873529195786
995000,50102.09993267059
996000,50155.149993896484
997000,50206.407400131226
998000,50258.40845942497
